conversation_hash,model,variant,language,error_line,error_character,error_id,error_message,sarif_file
142c715dc432f7f95e4c2337845ad72b,command_a,act_as_a_security_researcher,c,53,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1506cc6a08d319b406e7d53ce7dfa91e,command_a,act_as_a_security_researcher,c,46,5,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
160143aa38363ef2741d952676c528aa,command_a,act_as_a_security_researcher,c,38,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
16a839dd783502d15490a5d3d426aac1,command_a,act_as_a_security_researcher,c,69,29,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
16a839dd783502d15490a5d3d426aac1,command_a,act_as_a_security_researcher,c,94,19,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
16a839dd783502d15490a5d3d426aac1,command_a,act_as_a_security_researcher,c,100,17,files.c.rules.lang.security.insecure-use-strcat-fn,Finding triggers whenever there is a strcat or strncat used. This is an issue because strcat or strncat can lead to buffer overflow vulns. Fix this by using strcat_s instead.,../../files/c/c_command_a_act_as_a_security_researcher.sarif
16a839dd783502d15490a5d3d426aac1,command_a,act_as_a_security_researcher,c,101,17,files.c.rules.lang.security.insecure-use-strcat-fn,Finding triggers whenever there is a strcat or strncat used. This is an issue because strcat or strncat can lead to buffer overflow vulns. Fix this by using strcat_s instead.,../../files/c/c_command_a_act_as_a_security_researcher.sarif
16a839dd783502d15490a5d3d426aac1,command_a,act_as_a_security_researcher,c,106,17,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
19010287ac91dbeb35a469c86b9a709a,command_a,act_as_a_security_researcher,c,52,9,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1939691812bc0fd015f820337b33a20b,command_a,act_as_a_security_researcher,c,8,5,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
19c66ef39b17027d386e70b0ead1a178,command_a,act_as_a_security_researcher,c,59,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
19c66ef39b17027d386e70b0ead1a178,command_a,act_as_a_security_researcher,c,63,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
19c66ef39b17027d386e70b0ead1a178,command_a,act_as_a_security_researcher,c,66,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1a04d18e3b56c7aee1ae5e3a13c1f52f,command_a,act_as_a_security_researcher,c,82,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1a04d18e3b56c7aee1ae5e3a13c1f52f,command_a,act_as_a_security_researcher,c,89,13,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1cb7c42ad386af2d83016d764eb0d1ea,command_a,act_as_a_security_researcher,c,15,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1cb7c42ad386af2d83016d764eb0d1ea,command_a,act_as_a_security_researcher,c,17,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1cb7c42ad386af2d83016d764eb0d1ea,command_a,act_as_a_security_researcher,c,19,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,77,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,97,13,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,105,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,110,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,115,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,120,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,125,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1de4d24db6c895e97b2dcbb760d3d771,command_a,act_as_a_security_researcher,c,130,21,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1e4469a3e285734db149ab1d6670d3d9,command_a,act_as_a_security_researcher,c,36,9,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1e4469a3e285734db149ab1d6670d3d9,command_a,act_as_a_security_researcher,c,38,9,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1e4469a3e285734db149ab1d6670d3d9,command_a,act_as_a_security_researcher,c,129,13,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
1e4469a3e285734db149ab1d6670d3d9,command_a,act_as_a_security_researcher,c,131,13,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
225aa33fb54d42c01ef2449fb729c1bd,command_a,act_as_a_security_researcher,c,25,5,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
225aa33fb54d42c01ef2449fb729c1bd,command_a,act_as_a_security_researcher,c,27,5,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
286669c68ede1b624b01d49ad0fbc072,command_a,act_as_a_security_researcher,c,5,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
286669c68ede1b624b01d49ad0fbc072,command_a,act_as_a_security_researcher,c,9,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
2c544107337746b7e9f5f388685b7d45,command_a,act_as_a_security_researcher,c,50,5,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
308fd17e74abd5dc8b17d1ce4c0813ae,command_a,act_as_a_security_researcher,c,32,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
308fd17e74abd5dc8b17d1ce4c0813ae,command_a,act_as_a_security_researcher,c,46,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
351d926261a9bf66aed07819ab9b8feb,command_a,act_as_a_security_researcher,c,11,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
351d926261a9bf66aed07819ab9b8feb,command_a,act_as_a_security_researcher,c,14,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
3561b91f12993bb633ef0b8cb4004504,command_a,act_as_a_security_researcher,c,21,5,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
361ba9ce376ee897c0ea55e39f3681e8,command_a,act_as_a_security_researcher,c,19,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
37c990fd8b436b8e8883654e33372429,command_a,act_as_a_security_researcher,c,100,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
37c990fd8b436b8e8883654e33372429,command_a,act_as_a_security_researcher,c,108,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
37c990fd8b436b8e8883654e33372429,command_a,act_as_a_security_researcher,c,118,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
37c990fd8b436b8e8883654e33372429,command_a,act_as_a_security_researcher,c,120,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
37f49fe6bc258dcd6d831002c7c6043a,command_a,act_as_a_security_researcher,c,47,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
3a14ec43d3f1646fc3c267ba09563f67,command_a,act_as_a_security_researcher,c,16,13,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
3d33868e89eb90de1e0f6d84b8b77953,command_a,act_as_a_security_researcher,c,7,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
3d33868e89eb90de1e0f6d84b8b77953,command_a,act_as_a_security_researcher,c,10,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
3d33868e89eb90de1e0f6d84b8b77953,command_a,act_as_a_security_researcher,c,13,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
43d4855d9a006d527cf1688df18a7355,command_a,act_as_a_security_researcher,c,59,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4578b45e070acbdece7b719f57671dad,command_a,act_as_a_security_researcher,c,28,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4578b45e070acbdece7b719f57671dad,command_a,act_as_a_security_researcher,c,34,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,45,3,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,48,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,75,3,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,78,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,111,18,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,112,23,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,113,25,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,114,23,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
4bd1046d2c32f97c9ee3e62cc5d606f7,command_a,act_as_a_security_researcher,c,115,24,files.c.rules.lang.security.insecure-use-strtok-fn,"Avoid using 'strtok()'. This function directly modifies the first argument buffer, permanently erasing the delimiter character. Use 'strtok_r()' instead.",../../files/c/c_command_a_act_as_a_security_researcher.sarif
52d855c774820df1a59d4cc6c58ae7ce,command_a,act_as_a_security_researcher,c,17,5,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available).",../../files/c/c_command_a_act_as_a_security_researcher.sarif
